Temps t / s;Tension U_A1 / V;Tension U_B1 / V
0;2,78;0,00045
0,101;2,77;0,002
0,199;2,765;0,0007
0,3;2,75;0,00035
0,401;2,74;0,0015
0,5;2,735;0,00275
0,599;2,735;0,00325
0,7;2,75;0,00435
0,8;2,75;0,0027
0,901;2,755;0,0033
1;2,76;0,00445
1,1;2,77;0,00455
1,199;2,785;0,0049
1,3;2,795;0,00405
1,4;2,805;0,00455
1,501;2,82;0,0049
1,601;2,83;0,0039
1,701;2,835;0,00375
1,8;2,845;0,0037
1,9;2,855;0,0046
2,001;2,87;0,0047
2,1;2,88;0,0045
2,2;2,89;0,0041
2,302;2,9;0,0031
2,4;2,9;0,00355
2,501;2,915;0,00615
2,6;2,955;0,0109
2,7;3,025;0,015
2,8;3,125;0,02055
2,9;3,255;0,0238
3;3,4;0,02695
3,099;3,555;0,02805
3,2;3,715;0,0281
3,299;3,875;0,0273
3,4;4,025;0,02565
3,5;4,16;0,02365
3,601;4,285;0,02065
3,7;4,39;0,0181
3,799;4,48;0,01565
3,9;4,545;0,01235
3,999;4,595;0,0087
4,1;4,615;0,00495
4,201;4,62;0,0012
4,3;4,595;-0,0018
4,4;4,555;-0,0048
4,5;4,495;-0,0076
4,601;4,425;-0,01025
4,7;4,33;-0,0133
4,799;4,22;-0,01555
4,9;4,1;-0,01815
5;3,96;-0,02005
5,099;3,81;-0,02155
5,199;3,65;-0,0229
5,3;3,49;-0,0222
5,4;3,335;-0,0217
5,499;3,195;-0,01785
5,6;3,08;-0,01405
5,699;2,995;-0,00885
5,8;2,945;-0,00235
5,9;2,94;0,00395
6;2,975;0,00995
6,1;3,04;0,0151
6,201;3,145;0,0211
6,3;3,28;0,02405
6,4;3,43;0,02785
6,5;3,595;0,02925
6,6;3,765;0,03015
6,7;3,945;0,03015
6,8;4,115;0,02965
6,9;4,285;0,0287
7;4,45;0,02845
7,1;4,61;0,0277
7,2;4,76;0,02545
7,301;4,9;0,02335
7,401;5,025;0,0215
7,5;5,14;0,0209
7,6;5,255;0,0196
7,699;5,355;0,01765
7,8;5,44;0,01535
7,9;5,51;0,0133
8;5,575;0,01135
8,1;5,625;0,00975
8,201;5,665;0,00825
8,3;5,7;0,0069
8,4;5,72;0,00505
8,5;5,73;0,00405
8,601;5,735;0,003
8,701;5,74;0,0025
8,8;5,74;0,0025
8,9;5,74;0,0025
9;5,75;0,0032
9,1;5,755;0,0035
9,2;5,76;0,0038
9,3;5,775;0,0042
9,399;5,785;0,00485
9,5;5,8;0,00525
9,6;5,825;0,0063
9,7;5,855;0,0075
9,8;5,895;0,009
9,9;5,945;0,01085
10;6,01;0,013
10,099;6,085;0,01515
10,2;6,175;0,01705
10,301;6,28;0,01985
10,4;6,4;0,02265
10,5;6,535;0,0231
10,6;6,67;0,0237
10,7;6,805;0,0232
10,8;6,935;0,02355
10,9;7,07;0,02265
10,999;7,18;0,01865
11,099;7,265;0,01355
11,2;7,31;0,007
11,3;7,32;0,0018
11,4;7,3;-0,00375
11,499;7,235;-0,01015
11,601;7,135;-0,01555
11,7;7,01;-0,01855
11,8;6,87;-0,02055
11,9;6,72;-0,022
12;6,555;-0,02455
12,1;6,385;-0,0253
12,2;6,21;-0,02515
12,3;6,04;-0,0249
12,399;5,875;-0,0237
12,5;5,71;-0,0233
12,6;5,55;-0,0237
12,699;5,39;-0,0241
12,799;5,225;-0,02345
12,9;5,06;-0,0236
13;4,895;-0,02495
13,1;4,72;-0,02595
13,2;4,545;-0,0261
13,3;4,365;-0,02605
13,399;4,185;-0,0264
13,5;4;-0,0267
13,6;3,825;-0,0262
13,7;3,65;-0,02455
13,801;3,495;-0,0219
13,899;3,36;-0,01845
14;3,25;-0,01355
14,101;3,17;-0,0078
14,2;3,135;-0,00235
14,3;3,13;0,0031
14,4;3,16;0,0086
14,5;3,22;0,0137
14,6;3,31;0,01635
14,699;3,41;0,0194
14,801;3,535;0,02105
14,9;3,655;0,0216
15;3,78;0,02165
15,099;3,9;0,02125
15,2;4,015;0,019
15,3;4,115;0,0168
15,399;4,2;0,0148
15,499;4,27;0,01195
15,6;4,32;0,0086
15,699;4,35;0,0052
15,799;4,355;0,00175
15,9;4,345;-0,0012
15,999;4,315;-0,00445
16,099;4,265;-0,0072
16,2;4,195;-0,01025
16,299;4,11;-0,01265
16,4;4;-0,01575
16,5;3,88;-0,01835
16,6;3,745;-0,02025
16,7;3,6;-0,02205
16,8;3,45;-0,02185
16,9;3,3;-0,02215
16,999;3,16;-0,01875
17,1;3,04;-0,01585
17,199;2,945;-0,01125
17,3;2,89;-0,0054
17,399;2,87;0,001
17,499;2,89;0,0073
17,6;2,95;0,01255
17,699;3,04;0,01785
17,8;3,165;0,02255
17,9;3,31;0,02555
18;3,48;0,0284
18,1;3,65;0,0293
