Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;0,0181;6,695
0,02;0,01775;6,715
0,04;0,01735;6,735
0,06;0,0173;6,75
0,08;0,01685;6,77
0,1;0,0165;6,785
0,12;0,01595;6,805
0,14;0,0154;6,82
0,16;0,0148;6,835
0,18;0,01415;6,855
0,2;0,01345;6,865
0,22;0,01275;6,88
0,24;0,01215;6,89
0,26;0,01135;6,9
0,28;0,0104;6,915
0,3;0,00965;6,92
0,32;0,00875;6,93
0,34;0,00795;6,94
0,36;0,007;6,94
0,38;0,00615;6,945
0,4;0,0052;6,95
0,42;0,0043;6,95
0,44;0,0032;6,95
0,46;0,00235;6,95
0,48;0,0014;6,95
0,5;0,00045;6,945
0,52;-0,00035;6,945
0,54;-0,00125;6,94
0,56;-0,00215;6,935
0,58;-0,0028;6,925
0,6;-0,00375;6,915
0,62;-0,00465;6,91
0,64;-0,00535;6,9
0,66;-0,0061;6,885
0,68;-0,00665;6,875
0,7;-0,00735;6,865
0,72;-0,0078;6,85
0,74;-0,00845;6,84
0,76;-0,0088;6,82
0,78;-0,0094;6,81
0,8;-0,0102;6,795
0,82;-0,0107;6,775
0,84;-0,0114;6,755
0,86;-0,01185;6,74
0,88;-0,0123;6,72
0,9;-0,01255;6,7
0,92;-0,01255;6,68
0,94;-0,0128;6,665
0,96;-0,0132;6,645
0,98;-0,01345;6,625
1;-0,0141;6,605
1,02;-0,01455;6,585
1,04;-0,01485;6,56
1,06;-0,01515;6,54
1,08;-0,0154;6,52
1,1;-0,01565;6,495
1,12;-0,01575;6,47
1,14;-0,01605;6,445
1,16;-0,01605;6,425
1,18;-0,0157;6,405
1,2;-0,0154;6,38
1,22;-0,0153;6,36
1,24;-0,01485;6,335
1,26;-0,0145;6,315
1,28;-0,0139;6,295
1,3;-0,0138;6,275
1,32;-0,01355;6,255
1,34;-0,0134;6,235
1,36;-0,013;6,22
1,38;-0,01265;6,2
1,4;-0,01215;6,18
1,42;-0,01205;6,165
1,44;-0,01165;6,15
1,46;-0,01115;6,13
1,48;-0,0106;6,11
1,5;-0,0102;6,1
1,52;-0,00975;6,085
1,54;-0,0092;6,07
1,56;-0,0086;6,055
1,58;-0,0079;6,045
1,6;-0,00725;6,035
1,62;-0,0067;6,02
1,64;-0,00615;6,01
1,66;-0,0056;6,005
1,68;-0,0047;5,995
1,7;-0,00405;5,985
1,72;-0,0035;5,98
1,74;-0,0028;5,975
1,76;-0,00205;5,97
1,78;-0,00135;5,965
1,8;-0,0007;5,96
1,82;-5E-05;5,96
1,84;0,0006;5,96
1,86;0,0013;5,955
1,88;0,00185;5,955
1,9;0,0026;5,955
1,92;0,0032;5,96
1,94;0,00365;5,96
1,96;0,0041;5,965
1,98;0,00465;5,97
2;0,00535;5,975
2,02;0,00615;5,98
2,04;0,00685;5,985
2,06;0,0073;5,99
2,08;0,00785;5,995
2,1;0,0087;6,005
2,12;0,0093;6,02
2,14;0,0098;6,025
2,16;0,01035;6,04
2,18;0,01085;6,05
2,2;0,0114;6,06
2,22;0,0122;6,075
2,24;0,01265;6,085
2,26;0,01285;6,1
2,28;0,0132;6,115
2,3;0,0136;6,13
2,32;0,014;6,15
2,34;0,0144;6,165
2,36;0,0147;6,18
2,38;0,0154;6,195
2,4;0,0159;6,215
2,42;0,0165;6,23
2,44;0,01715;6,25
2,46;0,01775;6,27
2,48;0,01815;6,295
2,5;0,01865;6,315
2,52;0,0191;6,335
