Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;0,11925;7,35
0,02;0,11715;7,5
0,04;0,1143;7,645
0,06;0,111;7,785
0,08;0,10755;7,92
0,1;0,1038;8,05
0,12;0,09945;8,175
0,14;0,0942;8,295
0,16;0,0888;8,405
0,18;0,08325;8,51
0,2;0,0768;8,605
0,22;0,0705;8,695
0,24;0,06345;8,77
0,26;0,05625;8,84
0,28;0,0483;8,9
0,3;0,0405;8,95
0,32;0,0321;8,99
0,34;0,0234;9,015
0,36;0,01545;9,035
0,38;0,00705;9,04
0,4;-0,00135;9,04
0,42;-0,01005;9,025
0,44;-0,01815;8,995
0,46;-0,0258;8,965
0,48;-0,03375;8,92
0,5;-0,0411;8,87
0,52;-0,04935;8,805
0,54;-0,0564;8,73
0,56;-0,0627;8,655
0,58;-0,069;8,565
0,6;-0,07545;8,47
0,62;-0,0801;8,37
0,64;-0,0846;8,26
0,66;-0,08895;8,15
0,68;-0,0942;8,03
0,7;-0,0981;7,905
0,72;-0,1011;7,775
0,74;-0,1035;7,65
0,76;-0,10515;7,515
0,78;-0,10815;7,38
0,8;-0,1101;7,245
0,82;-0,1116;7,105
0,84;-0,11325;6,96
0,86;-0,11415;6,82
0,88;-0,1143;6,68
0,9;-0,1146;6,535
0,92;-0,11595;6,39
0,94;-0,11715;6,24
0,96;-0,11685;6,095
0,98;-0,1173;5,95
1;-0,1176;5,805
1,02;-0,1188;5,655
1,04;-0,11895;5,51
1,06;-0,1188;5,36
1,08;-0,1188;5,21
1,1;-0,1188;5,065
1,12;-0,1191;4,915
1,14;-0,1191;4,77
1,16;-0,11985;4,615
1,18;-0,12015;4,47
1,2;-0,12;4,32
1,22;-0,1203;4,165
1,24;-0,11985;4,02
1,26;-0,11985;3,87
1,28;-0,12015;3,72
1,3;-0,12015;3,57
1,32;-0,11865;3,42
1,34;-0,1185;3,275
1,36;-0,1176;3,13
1,38;-0,1167;2,985
1,4;-0,11475;2,845
1,42;-0,11265;2,705
1,44;-0,1104;2,565
1,46;-0,10845;2,435
1,48;-0,1053;2,31
1,5;-0,10185;2,18
1,52;-0,09735;2,06
1,54;-0,093;1,95
1,56;-0,08865;1,84
1,58;-0,08355;1,74
1,6;-0,07845;1,645
1,62;-0,0723;1,56
1,64;-0,066;1,48
1,66;-0,05955;1,41
1,68;-0,05235;1,35
1,7;-0,04575;1,295
1,72;-0,0381;1,255
1,74;-0,0309;1,225
1,76;-0,02295;1,195
1,78;-0,01515;1,19
1,8;-0,0078;1,18
1,82;-0,00015;1,185
1,84;0,0072;1,2
1,86;0,01455;1,23
1,88;0,02235;1,26
1,9;0,0297;1,305
1,92;0,0366;1,355
1,94;0,04305;1,415
1,96;0,0492;1,485
1,98;0,0555;1,565
2;0,06165;1,645
2,02;0,06705;1,735
2,04;0,07095;1,83
2,06;0,0762;1,93
2,08;0,0804;2,035
2,1;0,0837;2,15
2,12;0,0867;2,26
2,14;0,0897;2,38
2,16;0,09255;2,505
2,18;0,09525;2,625
2,2;0,0975;2,755
2,22;0,0987;2,88
2,24;0,0999;3,01
2,26;0,10125;3,145
2,28;0,10185;3,28
2,3;0,10275;3,41
2,32;0,10335;3,545
2,34;0,1047;3,685
2,36;0,10605;3,82
2,38;0,10575;3,96
2,4;0,10575;4,09
2,42;0,10575;4,23
2,44;0,1068;4,365
2,46;0,10725;4,51
2,48;0,1068;4,645
