Temps t / s;Tension U_B1 / V;Tension U_A1 / V
0;-0,0045;3,785
0,02;-0,00405;3,78
0,04;-0,00325;3,78
0,06;-0,00265;3,785
0,08;-0,00215;3,78
0,1;-0,00185;3,78
0,12;-0,00185;3,785
0,14;-0,0018;3,785
0,16;-0,00185;3,79
0,18;-0,00205;3,785
0,2;-0,0021;3,785
0,22;-0,0022;3,79
0,24;-0,002;3,79
0,26;-0,00185;3,79
0,28;-0,0016;3,79
0,3;-0,00145;3,79
0,32;-0,00165;3,795
0,34;-0,0019;3,79
0,36;-0,00205;3,795
0,38;-0,0022;3,79
0,4;-0,00245;3,795
0,42;-0,0024;3,795
0,44;-0,0025;3,79
0,46;-0,00245;3,795
0,48;-0,00255;3,795
0,5;-0,0028;3,795
0,52;-0,0028;3,795
0,54;-0,0031;3,795
0,56;-0,003;3,79
0,58;-0,00295;3,79
0,6;-0,00295;3,795
0,62;-0,0029;3,79
0,64;-0,00295;3,795
0,66;-0,0026;3,79
0,68;-0,0024;3,79
0,7;-0,00205;3,79
0,72;-0,00195;3,79
0,74;-0,0018;3,795
0,76;-0,00155;3,795
0,78;-0,00155;3,795
0,8;-0,00135;3,8
0,82;-0,00115;3,8
0,84;-0,0009;3,8
0,86;-0,0009;3,8
0,88;-0,00075;3,805
0,9;-0,0005;3,81
0,92;-0,00035;3,81
0,94;-0,0002;3,815
0,96;0;3,815
0,98;0,00015;3,82
1;0,00025;3,825
1,02;0,00045;3,825
1,04;0,00035;3,83
1,06;0,00045;3,835
1,08;0,0007;3,84
1,1;0,00065;3,84
1,12;0,0006;3,845
1,14;0,0007;3,85
1,16;0,0005;3,855
1,18;0,00045;3,86
1,2;0,0003;3,865
1,22;0,00015;3,865
1,24;-5E-05;3,87
1,26;-0,0002;3,87
1,28;-0,0004;3,875
1,3;-0,00045;3,88
1,32;-0,0006;3,88
1,34;-0,00055;3,885
1,36;-0,0008;3,885
1,38;-0,0008;3,885
1,4;-0,0008;3,89
1,42;-0,00095;3,89
1,44;-0,00105;3,89
1,46;-0,00105;3,895
1,48;-0,001;3,895
1,5;-0,001;3,9
1,52;-0,0011;3,9
1,54;-0,0011;3,9
1,56;-0,00115;3,9
1,58;-0,00115;3,9
1,6;-0,0013;3,91
1,62;-0,0013;3,905
1,64;-0,0014;3,91
1,66;-0,00135;3,91
1,68;-0,00145;3,91
1,7;-0,0014;3,91
1,72;-0,00145;3,915
1,74;-0,0015;3,915
1,76;-0,00155;3,915
1,78;-0,00155;3,915
1,8;-0,00155;3,92
1,82;-0,00165;3,92
1,84;-0,0017;3,92
1,86;-0,00165;3,92
1,88;-0,0017;3,925
1,9;-0,0017;3,925
1,92;-0,0017;3,925
1,94;-0,0017;3,925
1,96;-0,00165;3,925
1,98;-0,00175;3,93
2;-0,00165;3,925
2,02;-0,00155;3,93
2,04;-0,00165;3,93
2,06;-0,00165;3,93
2,08;-0,00165;3,93
2,1;-0,00165;3,935
2,12;-0,0017;3,935
2,14;-0,0017;3,935
2,16;-0,00165;3,935
2,18;-0,0018;3,94
2,2;-0,0017;3,935
2,22;-0,0018;3,94
2,24;-0,00185;3,94
2,26;-0,00185;3,94
2,28;-0,0018;3,945
2,3;-0,00185;3,945
2,32;-0,00185;3,945
2,34;-0,0016;3,945
2,36;-0,0018;3,94
2,38;-0,0018;3,945
2,4;-0,0018;3,945
2,42;-0,0018;3,945
2,44;-0,00185;3,95
2,46;-0,00185;3,95
2,48;-0,0019;3,95
2,5;-0,002;3,95
2,52;-0,002;3,95
2,54;-0,00215;3,95
2,56;-0,0023;3,95
2,58;-0,0023;3,955
2,6;-0,0023;3,95
2,62;-0,00245;3,95
2,64;-0,0025;3,95
2,66;-0,00265;3,95
2,68;-0,00275;3,95
2,7;-0,0028;3,95
2,72;-0,00285;3,95
2,74;-0,0031;3,945
2,76;-0,00325;3,945
2,78;-0,0033;3,945
2,8;-0,0034;3,945
2,82;-0,0035;3,94
2,84;-0,00365;3,945
2,86;-0,0037;3,94
2,88;-0,00375;3,935
2,9;-0,0037;3,935
2,92;-0,0038;3,935
2,94;-0,00385;3,935
2,96;-0,00395;3,93
2,98;-0,004;3,93
3;-0,00395;3,925
3,02;-0,00395;3,925
3,04;-0,0042;3,92
3,06;-0,0044;3,92
3,08;-0,0046;3,92
3,1;-0,00465;3,915
3,12;-0,0048;3,91
3,14;-0,0049;3,905
3,16;-0,00495;3,905
3,18;-0,00515;3,9
3,2;-0,0052;3,9
3,22;-0,00535;3,895
3,24;-0,00555;3,89
3,26;-0,00575;3,89
3,28;-0,0059;3,88
3,3;-0,0061;3,875
3,32;-0,0064;3,875
3,34;-0,00665;3,87
3,36;-0,0069;3,86
3,38;-0,00715;3,855
3,4;-0,00765;3,85
3,42;-0,0079;3,845
3,44;-0,00815;3,835
3,46;-0,0081;3,83
3,48;-0,00875;3,82
3,5;-0,00905;3,81
3,52;-0,00945;3,8
3,54;-0,00975;3,79
3,56;-0,01005;3,78
3,58;-0,0104;3,77
3,6;-0,0108;3,76
3,62;-0,01085;3,75
3,64;-0,01085;3,74
3,66;-0,01145;3,725
3,68;-0,01195;3,715
3,7;-0,01225;3,705
3,72;-0,01255;3,69
3,74;-0,01285;3,675
3,76;-0,01315;3,66
3,78;-0,01345;3,65
3,8;-0,01365;3,635
3,82;-0,01385;3,62
3,84;-0,01445;3,605
3,86;-0,01495;3,59
3,88;-0,0154;3,57
3,9;-0,01595;3,555
3,92;-0,01645;3,535
3,94;-0,01685;3,52
3,96;-0,0171;3,5
3,98;-0,01735;3,48
4;-0,0176;3,46
4,02;-0,01785;3,44
4,04;-0,01805;3,42
4,06;-0,0183;3,4
4,08;-0,01835;3,38
4,1;-0,0185;3,36
4,12;-0,0186;3,34
4,14;-0,0185;3,32
4,16;-0,01835;3,3
4,18;-0,01875;3,28
4,2;-0,0191;3,255
4,22;-0,01945;3,24
4,24;-0,01935;3,21
4,26;-0,01945;3,19
4,28;-0,01965;3,17
4,3;-0,0197;3,145
4,32;-0,0197;3,13
4,34;-0,0194;3,11
4,36;-0,0191;3,085
4,38;-0,0185;3,065
4,4;-0,0182;3,045
4,42;-0,0177;3,025
4,44;-0,01715;3,005
4,46;-0,0167;2,99
4,48;-0,0165;2,97
4,5;-0,0162;2,95
4,52;-0,01585;2,935
4,54;-0,01535;2,92
4,56;-0,01475;2,905
4,58;-0,0144;2,89
4,6;-0,01375;2,875
4,62;-0,01315;2,86
4,64;-0,01245;2,85
4,66;-0,0117;2,84
4,68;-0,01085;2,83
4,7;-0,01015;2,815
4,72;-0,0093;2,81
4,74;-0,00845;2,8
4,76;-0,0075;2,795
4,78;-0,00655;2,79
4,8;-0,0056;2,785
4,82;-0,00485;2,785
4,84;-0,004;2,78
4,86;-0,0033;2,78
4,88;-0,0024;2,78
4,9;-0,00145;2,785
4,92;-0,00055;2,785
4,94;0,0004;2,785
4,96;0,00115;2,79
4,98;0,0021;2,8
5;0,0029;2,805
5,02;0,0039;2,815
5,04;0,00485;2,825
5,06;0,00575;2,835
5,08;0,00625;2,85
5,1;0,00705;2,86
5,12;0,0075;2,875
5,14;0,0081;2,885
5,16;0,0088;2,9
5,18;0,0096;2,91
5,2;0,0103;2,93
5,22;0,0112;2,95
5,24;0,01225;2,965
5,26;0,01295;2,985
5,28;0,01375;3,005
5,3;0,0143;3,03
5,32;0,01545;3,05
5,34;0,01585;3,07
5,36;0,016;3,095
5,38;0,0165;3,125
5,4;0,01665;3,145
5,42;0,0172;3,17
5,44;0,01755;3,2
5,46;0,01805;3,22
5,48;0,0184;3,245
5,5;0,0189;3,275
5,52;0,01955;3,3
5,54;0,02;3,33
5,56;0,02035;3,36
5,58;0,0208;3,39
5,6;0,02085;3,415
5,62;0,021;3,445
5,64;0,0209;3,475
5,66;0,02105;3,505
5,68;0,0213;3,535
5,7;0,02115;3,565
5,72;0,0213;3,595
5,74;0,02185;3,625
5,76;0,02175;3,655
5,78;0,022;3,685
5,8;0,0219;3,72
5,82;0,02185;3,75
5,84;0,02205;3,78
5,86;0,0223;3,81
5,88;0,0219;3,845
5,9;0,02195;3,875
5,92;0,022;3,905
5,94;0,0222;3,935
5,96;0,02235;3,965
5,98;0,02195;3,995
6;0,0217;4,025
6,02;0,0216;4,055
6,04;0,02175;4,085
6,06;0,0218;4,12
6,08;0,02175;4,145
6,1;0,02185;4,18
6,12;0,0215;4,205
6,14;0,02135;4,235
6,16;0,02145;4,27
6,18;0,02165;4,3
6,2;0,02195;4,325
6,22;0,0219;4,355
6,24;0,02215;4,39
6,26;0,0224;4,425
6,28;0,02255;4,45
6,3;0,0226;4,485
6,32;0,02255;4,515
6,34;0,02265;4,55
6,36;0,0223;4,575
6,38;0,02225;4,61
6,4;0,02205;4,64
6,42;0,02185;4,67
6,44;0,02155;4,7
6,46;0,02135;4,73
6,48;0,02135;4,76
6,5;0,0214;4,79
6,52;0,02115;4,82
6,54;0,02105;4,85
6,56;0,0211;4,875
6,58;0,0212;4,91
6,6;0,0212;4,935
6,62;0,02165;4,965
6,64;0,0219;5
6,66;0,02215;5,03
6,68;0,0224;5,06
6,7;0,02255;5,09
6,72;0,023;5,12
6,74;0,02325;5,155
6,76;0,02335;5,19
6,78;0,02345;5,22
6,8;0,02325;5,255
6,82;0,0231;5,29
6,84;0,02305;5,315
6,86;0,02285;5,35
6,88;0,02275;5,38
6,9;0,0227;5,415
6,92;0,02275;5,44
6,94;0,023;5,475
6,96;0,0232;5,51
6,98;0,0234;5,54
7;0,0236;5,575
7,02;0,02405;5,605
7,04;0,02425;5,64
7,06;0,0246;5,675
7,08;0,0249;5,71
7,1;0,0254;5,745
7,12;0,02525;5,78
7,14;0,0252;5,81
7,16;0,02545;5,85
7,18;0,02555;5,885
7,2;0,02595;5,92
7,22;0,02645;5,955
7,24;0,0269;5,99
7,26;0,0271;6,03
7,28;0,0275;6,065
7,3;0,0278;6,105
7,32;0,02755;6,14
7,34;0,0271;6,18
7,36;0,02675;6,22
7,38;0,0266;6,25
7,4;0,0264;6,285
7,42;0,0264;6,325
7,44;0,02605;6,36
7,46;0,0256;6,395
7,48;0,02505;6,43
7,5;0,0245;6,465
7,52;0,0244;6,495
7,54;0,024;6,53
7,56;0,02355;6,565
7,58;0,02335;6,595
7,6;0,0229;6,625
7,62;0,0223;6,655
7,64;0,0218;6,685
7,66;0,0214;6,715
7,68;0,0209;6,745
7,7;0,02055;6,77
7,72;0,01985;6,8
7,74;0,01905;6,825
7,76;0,01795;6,855
7,78;0,0169;6,875
7,8;0,0158;6,9
7,82;0,0147;6,92
7,84;0,0135;6,94
7,86;0,01225;6,955
7,88;0,0107;6,97
7,9;0,00935;6,985
7,92;0,0079;6,995
7,94;0,0065;7,01
7,96;0,00505;7,02
7,98;0,0037;7,025
8;0,0021;7,03
8,02;0,0005;7,035
8,04;-0,00085;7,03
8,06;-0,00225;7,03
8,08;-0,00375;7,03
8,1;-0,0052;7,025
8,12;-0,00665;7,02
8,14;-0,0083;7,01
8,16;-0,0098;7
8,18;-0,01105;6,985
8,2;-0,0124;6,975
8,22;-0,0136;6,96
8,24;-0,0146;6,945
8,26;-0,0156;6,925
8,28;-0,01665;6,905
8,3;-0,01745;6,885
8,32;-0,01855;6,865
8,34;-0,0194;6,845
8,36;-0,0201;6,82
8,38;-0,0207;6,795
8,4;-0,0213;6,77
8,42;-0,02175;6,75
8,44;-0,0225;6,725
8,46;-0,02335;6,695
8,48;-0,0239;6,67
8,5;-0,0244;6,64
8,52;-0,02485;6,61
8,54;-0,0251;6,58
8,56;-0,0256;6,555
8,58;-0,02635;6,52
8,6;-0,0272;6,49
8,62;-0,0278;6,46
8,64;-0,0285;6,425
8,66;-0,02895;6,39
8,68;-0,0294;6,355
8,7;-0,0294;6,32
8,72;-0,0295;6,285
8,74;-0,0293;6,25
8,76;-0,0291;6,215
8,78;-0,02925;6,18
8,8;-0,0292;6,145
8,82;-0,02935;6,11
8,84;-0,0294;6,08
8,86;-0,0294;6,045
8,88;-0,0294;6,01
8,9;-0,0293;5,975
8,92;-0,0291;5,94
8,94;-0,02885;5,905
8,96;-0,0286;5,87
8,98;-0,0283;5,84
9;-0,02795;5,81
9,02;-0,0275;5,78
9,04;-0,0269;5,745
9,06;-0,0266;5,71
9,08;-0,0265;5,685
9,1;-0,02625;5,655
9,12;-0,0262;5,625
9,14;-0,02595;5,59
9,16;-0,02575;5,56
9,18;-0,026;5,53
9,2;-0,026;5,5
9,22;-0,02585;5,47
9,24;-0,02545;5,44
9,26;-0,02545;5,41
9,28;-0,0253;5,38
9,3;-0,02525;5,355
9,32;-0,0251;5,325
9,34;-0,0248;5,295
9,36;-0,02435;5,27
9,38;-0,02405;5,24
9,4;-0,02345;5,215
9,42;-0,02295;5,185
9,44;-0,0228;5,165
9,46;-0,0226;5,135
9,48;-0,02225;5,11
9,5;-0,02195;5,09
9,52;-0,02145;5,06
9,54;-0,02115;5,035
9,56;-0,0208;5,015
9,58;-0,0206;4,99
9,6;-0,0207;4,97
9,62;-0,02025;4,945
9,64;-0,02015;4,92
9,66;-0,01985;4,895
9,68;-0,01995;4,875
9,7;-0,01985;4,85
9,72;-0,01975;4,83
9,74;-0,01985;4,805
9,76;-0,0199;4,785
9,78;-0,01985;4,76
9,8;-0,0197;4,74
9,82;-0,0196;4,72
9,84;-0,01925;4,695
9,86;-0,01905;4,675
9,88;-0,019;4,65
9,9;-0,0187;4,635
9,92;-0,0186;4,61
9,94;-0,0184;4,59
9,96;-0,018;4,57
9,98;-0,0175;4,55
10;-0,0172;4,53
10,02;-0,017;4,515
10,04;-0,01675;4,495
10,06;-0,0166;4,475
10,08;-0,01635;4,46
10,1;-0,01605;4,44
10,12;-0,01595;4,425
10,14;-0,01585;4,405
10,16;-0,01545;4,39
10,18;-0,0152;4,375
10,2;-0,0149;4,355
10,22;-0,01475;4,34
10,24;-0,01455;4,325
10,26;-0,0143;4,31
10,28;-0,01375;4,295
10,3;-0,01355;4,285
10,32;-0,0134;4,265
10,34;-0,01345;4,25
10,36;-0,01315;4,24
10,38;-0,013;4,225
10,4;-0,0129;4,21
10,42;-0,01265;4,195
10,44;-0,0126;4,185
10,46;-0,0123;4,17
10,48;-0,0119;4,16
10,5;-0,01135;4,15
10,52;-0,0107;4,135
10,54;-0,01075;4,125
10,56;-0,01085;4,115
10,58;-0,0107;4,1
10,6;-0,0104;4,095
10,62;-0,01025;4,08
10,64;-0,0101;4,07
10,66;-0,01;4,06
10,68;-0,00965;4,05
10,7;-0,0095;4,04
10,72;-0,00945;4,035
10,74;-0,0093;4,025
10,76;-0,00905;4,015
10,78;-0,00895;4,01
10,8;-0,00875;4
10,82;-0,00865;3,99
10,84;-0,00825;3,98
10,86;-0,00805;3,975
10,88;-0,00795;3,965
10,9;-0,0077;3,96
10,92;-0,0076;3,95
10,94;-0,00755;3,95
10,96;-0,00735;3,94
10,98;-0,00725;3,935
11;-0,0072;3,93
11,02;-0,00705;3,92
11,04;-0,0069;3,91
11,06;-0,00685;3,905
11,08;-0,00705;3,9
11,1;-0,007;3,895
11,12;-0,007;3,89
11,14;-0,00705;3,88
11,16;-0,0068;3,875
11,18;-0,0068;3,87
11,2;-0,00655;3,86
11,22;-0,0065;3,855
11,24;-0,00635;3,85
11,26;-0,0063;3,85
11,28;-0,00655;3,84
11,3;-0,0067;3,835
11,32;-0,0068;3,83
11,34;-0,0069;3,825
11,36;-0,0069;3,82
11,38;-0,007;3,81
11,4;-0,007;3,805
11,42;-0,0072;3,795
11,44;-0,0072;3,79
11,46;-0,00735;3,78
11,48;-0,0074;3,775
11,5;-0,0079;3,765
11,52;-0,0079;3,76
11,54;-0,00785;3,75
11,56;-0,0077;3,75
11,58;-0,00765;3,74
11,6;-0,00805;3,73
11,62;-0,00855;3,72
11,64;-0,00875;3,71
11,66;-0,00895;3,705
11,68;-0,00915;3,695
11,7;-0,00935;3,685
11,72;-0,0096;3,67
11,74;-0,0097;3,665
11,76;-0,00985;3,655
11,78;-0,01;3,645
11,8;-0,0103;3,63
11,82;-0,0104;3,625
11,84;-0,01055;3,61
11,86;-0,01075;3,6
11,88;-0,0113;3,585
11,9;-0,01165;3,575
11,92;-0,0121;3,565
11,94;-0,01235;3,55
11,96;-0,01275;3,53
11,98;-0,01305;3,52
12;-0,01335;3,505
12,02;-0,01365;3,495
