BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;94;2458;2458;94
1650;15;445;445;15
2750;13;22;22;13
3850;6;14;14;6
4950;9;18;18;9
6050;16;14;14;16
7150;9;10;10;9
8250;11;8;8;11
9350;11;15;15;11
10450;7;15;15;7
11550;4;3;3;4
12650;10;12;12;10
13750;12;12;12;12
14850;13;13;13;13
15950;9;6;6;9
17050;8;13;13;8
18150;14;14;14;14
19250;21;9;9;21
20350;15;12;12;15
21450;12;19;19;12
22550;5;9;9;5
23650;14;15;15;14
24750;8;14;14;8
25850;8;14;14;8
26950;7;18;18;7
28050;10;15;15;10
29150;7;14;14;7
30250;15;8;8;15
31350;5;9;9;5
32450;13;21;21;13
33550;13;12;12;13
34650;14;10;10;14
35750;7;10;10;7
36850;6;17;17;6
37950;7;20;20;7
39050;8;6;6;8
40150;16;10;10;16
41250;14;9;9;14
42350;7;10;10;7
43450;18;13;13;18
44550;18;14;14;18
45650;13;14;14;13
46750;12;22;22;12
47850;15;15;15;15
48950;17;13;13;17
50050;21;12;12;21
51150;12;16;16;12
52250;18;11;11;18
53350;25;15;15;25
54450;19;16;16;19
55550;23;23;23;23
56650;14;16;16;14
57750;19;11;11;19
58850;19;12;12;19
59950;14;18;18;14
61050;11;15;15;11
62150;9;20;20;9
63250;14;9;9;14
64350;13;15;15;13
65450;12;18;18;12
66550;14;11;11;14
67650;7;4;4;7
68750;6;16;16;6
69850;12;14;14;12
70950;20;13;13;20
72050;10;11;11;10
73150;13;13;13;13
74250;10;12;12;10
75350;15;8;8;15
76450;18;4;4;18
77550;12;11;11;12
78650;11;9;9;11
79750;6;13;13;6
80850;12;10;10;12
81950;12;9;9;12
83050;15;10;10;15
84150;16;13;13;16
85250;13;11;11;13
86350;11;7;7;11
87450;11;14;14;11
88550;6;10;10;6
89650;10;6;6;10
90750;14;14;14;14
91850;10;10;10;10
92950;14;8;8;14
94050;17;14;14;17
95150;11;11;11;11
96250;4;13;13;4
97350;11;6;6;11
98450;9;9;9;9
99550;18;14;14;18
