BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;210;4572;4572;210
1650;19;800;800;19
2750;11;23;23;11
3850;8;9;9;8
4950;11;11;11;11
6050;14;13;13;14
7150;7;9;9;7
8250;10;6;6;10
9350;6;4;4;6
10450;13;10;10;13
11550;12;12;12;12
12650;14;11;11;14
13750;7;5;5;7
14850;9;6;6;9
15950;11;14;14;11
17050;10;9;9;10
18150;9;10;10;9
19250;16;5;5;16
20350;12;9;9;12
21450;10;8;8;10
22550;5;8;8;5
23650;14;2;2;14
24750;7;11;11;7
25850;6;7;7;6
26950;8;12;12;8
28050;10;11;11;10
29150;6;13;13;6
30250;11;14;14;11
31350;7;5;5;7
32450;7;8;8;7
33550;8;11;11;8
34650;6;13;13;6
35750;11;8;8;11
36850;6;10;10;6
37950;9;6;6;9
39050;13;7;7;13
40150;9;4;4;9
41250;5;9;9;5
42350;10;3;3;10
43450;18;7;7;18
44550;20;9;9;20
45650;14;9;9;14
46750;5;22;22;5
47850;15;13;13;15
48950;17;11;11;17
50050;18;15;15;18
51150;7;18;18;7
52250;25;10;10;25
53350;16;11;11;16
54450;32;22;22;32
55550;23;25;25;23
56650;32;24;24;32
57750;16;20;20;16
58850;16;23;23;16
59950;17;17;17;17
61050;11;12;12;11
62150;9;15;15;9
63250;8;14;14;8
64350;12;12;12;12
65450;12;10;10;12
66550;13;10;10;13
67650;14;7;7;14
68750;14;15;15;14
69850;13;7;7;13
70950;10;9;9;10
72050;12;7;7;12
73150;12;11;11;12
74250;8;7;7;8
75350;11;4;4;11
76450;11;8;8;11
77550;13;9;9;13
78650;14;11;11;14
79750;3;9;9;3
80850;11;9;9;11
81950;8;7;7;8
83050;5;9;9;5
84150;11;4;4;11
85250;9;7;7;9
86350;9;9;9;9
87450;13;4;4;13
88550;4;9;9;4
89650;12;10;10;12
90750;5;8;8;5
91850;9;12;12;9
92950;5;15;15;5
94050;10;6;6;10
95150;10;9;9;10
96250;6;7;7;6
97350;8;11;11;8
98450;13;9;9;13
99550;15;9;9;15
