BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;0;6;6;0
1650;1;3;3;1
2750;3;1;1;3
3850;0;3;3;0
4950;0;0;0;0
6050;1;1;1;1
7150;0;1;1;0
8250;2;0;0;2
9350;0;1;1;0
10450;1;0;0;1
11550;0;0;0;0
12650;0;1;1;0
13750;0;1;1;0
14850;2;1;1;2
15950;0;2;2;0
17050;0;0;0;0
18150;2;0;0;2
19250;1;1;1;1
20350;0;1;1;0
21450;0;1;1;0
22550;1;0;0;1
23650;0;0;0;0
24750;1;1;1;1
25850;1;2;2;1
26950;1;2;2;1
28050;0;1;1;0
29150;0;2;2;0
30250;2;1;1;2
31350;2;2;2;2
32450;1;0;0;1
33550;1;1;1;1
34650;1;1;1;1
35750;0;0;0;0
36850;1;3;3;1
37950;1;0;0;1
39050;3;1;1;3
40150;0;3;3;0
41250;1;0;0;1
42350;0;1;1;0
43450;1;1;1;1
44550;1;1;1;1
45650;1;1;1;1
46750;1;1;1;1
47850;1;0;0;1
48950;0;3;3;0
50050;1;2;2;1
51150;0;0;0;0
52250;1;1;1;1
53350;1;3;3;1
54450;0;1;1;0
55550;0;0;0;0
56650;1;0;0;1
57750;1;0;0;1
58850;2;0;0;2
59950;0;2;2;0
61050;1;0;0;1
62150;2;0;0;2
63250;0;0;0;0
64350;0;0;0;0
65450;0;0;0;0
66550;1;1;1;1
67650;1;0;0;1
68750;0;2;2;0
69850;0;3;3;0
70950;2;3;3;2
72050;1;1;1;1
73150;1;1;1;1
74250;0;0;0;0
75350;1;0;0;1
76450;1;1;1;1
77550;0;0;0;0
78650;2;1;1;2
79750;0;1;1;0
80850;2;0;0;2
81950;2;0;0;2
83050;2;1;1;2
84150;1;2;2;1
85250;0;0;0;0
86350;1;1;1;1
87450;0;1;1;0
88550;0;1;1;0
89650;3;0;0;3
90750;2;0;0;2
91850;1;2;2;1
92950;0;1;1;0
94050;1;0;0;1
95150;1;0;0;1
96250;1;0;0;1
97350;0;1;1;0
98450;0;2;2;0
99550;1;1;1;1
