BinCenter (ps);Histo01;Histo02;Histo03;Histo04
550;170;4128;4128;170
1650;13;597;597;13
2750;6;15;15;6
3850;6;11;11;6
4950;3;0;0;3
6050;6;3;3;6
7150;6;3;3;6
8250;7;6;6;7
9350;6;6;6;6
10450;5;5;5;5
11550;4;2;2;4
12650;6;6;6;6
13750;8;8;8;8
14850;5;9;9;5
15950;6;7;7;6
17050;9;3;3;9
18150;6;8;8;6
19250;3;6;6;3
20350;6;5;5;6
21450;10;2;2;10
22550;5;3;3;5
23650;4;2;2;4
24750;4;5;5;4
25850;4;5;5;4
26950;5;3;3;5
28050;2;1;1;2
29150;5;10;10;5
30250;10;8;8;10
31350;2;10;10;2
32450;5;7;7;5
33550;6;6;6;6
34650;3;5;5;3
35750;3;0;0;3
36850;5;6;6;5
37950;3;5;5;3
39050;6;3;3;6
40150;3;6;6;3
41250;6;4;4;6
42350;8;6;6;8
43450;7;6;6;7
44550;17;3;3;17
45650;8;6;6;8
46750;4;19;19;4
47850;4;12;12;4
48950;10;5;5;10
50050;13;8;8;13
51150;6;12;12;6
52250;22;6;6;22
53350;21;13;13;21
54450;26;20;20;26
55550;14;29;29;14
56650;22;16;16;22
57750;16;13;13;16
58850;14;13;13;14
59950;8;6;6;8
61050;9;10;10;9
62150;8;5;5;8
63250;6;6;6;6
64350;8;7;7;8
65450;7;2;2;7
66550;10;3;3;10
67650;6;5;5;6
68750;5;3;3;5
69850;2;4;4;2
70950;6;3;3;6
72050;4;9;9;4
73150;4;8;8;4
74250;3;6;6;3
75350;7;1;1;7
76450;7;2;2;7
77550;2;3;3;2
78650;2;5;5;2
79750;10;4;4;10
80850;7;12;12;7
81950;4;6;6;4
83050;6;9;9;6
84150;8;3;3;8
85250;5;4;4;5
86350;5;3;3;5
87450;10;7;7;10
88550;5;7;7;5
89650;8;4;4;8
90750;2;4;4;2
91850;4;7;7;4
92950;9;7;7;9
94050;3;3;3;3
95150;6;5;5;6
96250;9;10;10;9
97350;3;10;10;3
98450;5;5;5;5
99550;8;2;2;8
