BinCenter (ps);Histo01;Histo02;Histo03;Histo04
500;973;14382;0;0
1500;69;2043;0;0
2500;43;94;0;0
3500;30;44;0;0
4500;30;36;0;0
5500;35;44;0;0
6500;22;37;0;0
7500;36;50;0;0
8500;37;33;0;0
9500;47;32;0;0
10500;23;23;0;0
11500;41;38;0;0
12500;29;35;0;0
13500;41;32;0;0
14500;33;33;0;0
15500;42;29;0;0
16500;38;31;0;0
17500;35;33;0;0
18500;37;26;0;0
19500;34;24;0;0
20500;41;41;0;0
21500;40;73;0;0
22500;52;61;0;0
23500;210;28;0;0
24500;8036;41;0;0
25500;9046;47;0;0
26500;203;29;0;0
27500;49;33;0;0
28500;34;54;0;0
29500;33;53;0;0
30500;32;59;0;0
31500;35;57;0;0
32500;40;37;0;0
33500;38;36;0;0
34500;36;31;0;0
35500;35;32;0;0
36500;29;30;0;0
37500;31;27;0;0
38500;27;24;0;0
39500;41;24;0;0
40500;45;19;0;0
41500;35;22;0;0
42500;30;16;0;0
43500;50;12;0;0
44500;70;17;0;0
45500;52;19;0;0
46500;30;26;0;0
47500;39;24;0;0
48500;45;19;0;0
49500;70;14;0;0
50500;34;17;0;0
51500;40;21;0;0
52500;71;15;0;0
53500;86;12;0;0
54500;95;25;0;0
55500;75;18;0;0
56500;75;20;0;0
57500;69;18;0;0
58500;57;18;0;0
59500;55;15;0;0
60500;48;22;0;0
61500;71;19;0;0
62500;41;19;0;0
63500;35;13;0;0
64500;47;16;0;0
65500;39;29;0;0
66500;29;15;0;0
67500;36;10;0;0
68500;27;14;0;0
69500;56;15;0;0
70500;66;23;0;0
71500;44;18;0;0
72500;31;18;0;0
73500;31;15;0;0
74500;46;19;0;0
75500;69;15;0;0
76500;30;16;0;0
77500;58;14;0;0
78500;78;13;0;0
79500;92;10;0;0
80500;89;14;0;0
81500;76;19;0;0
82500;69;13;0;0
83500;58;9;0;0
84500;58;14;0;0
85500;49;14;0;0
86500;60;21;0;0
87500;65;20;0;0
88500;44;14;0;0
89500;38;15;0;0
90500;52;9;0;0
91500;27;17;0;0
92500;31;17;0;0
93500;29;13;0;0
94500;40;17;0;0
95500;28;14;0;0
96500;37;19;0;0
97500;44;17;0;0
98500;42;18;0;0
99500;37;18;0;0
