BinCenter (ps);Histo01;Histo02;Histo03;Histo04
250;451;3485;0;0
750;58;9307;0;0
1250;16;3319;0;0
1750;12;378;0;0
2250;14;68;0;0
2750;9;35;0;0
3250;8;15;0;0
3750;11;9;0;0
4250;7;9;0;0
4750;6;11;0;0
5250;10;10;0;0
5750;12;12;0;0
6250;8;5;0;0
6750;7;5;0;0
7250;12;6;0;0
7750;10;10;0;0
8250;8;6;0;0
8750;15;12;0;0
9250;11;6;0;0
9750;9;6;0;0
10250;8;9;0;0
10750;10;13;0;0
11250;10;8;0;0
11750;9;4;0;0
12250;10;5;0;0
12750;11;9;0;0
13250;6;16;0;0
13750;6;9;0;0
14250;5;11;0;0
14750;9;8;0;0
15250;10;7;0;0
15750;11;6;0;0
16250;12;11;0;0
16750;12;7;0;0
17250;9;11;0;0
17750;7;7;0;0
18250;7;10;0;0
18750;7;6;0;0
19250;15;8;0;0
19750;7;13;0;0
20250;9;6;0;0
20750;5;6;0;0
21250;7;5;0;0
21750;8;7;0;0
22250;11;8;0;0
22750;9;5;0;0
23250;7;8;0;0
23750;6;5;0;0
24250;13;9;0;0
24750;7;7;0;0
25250;11;7;0;0
25750;9;8;0;0
26250;15;4;0;0
26750;9;6;0;0
27250;7;9;0;0
27750;8;11;0;0
28250;7;10;0;0
28750;11;4;0;0
29250;4;12;0;0
29750;8;9;0;0
30250;5;10;0;0
30750;6;9;0;0
31250;5;9;0;0
31750;10;9;0;0
32250;7;11;0;0
32750;3;10;0;0
33250;4;7;0;0
33750;7;7;0;0
34250;10;15;0;0
34750;12;8;0;0
35250;2;8;0;0
35750;9;7;0;0
36250;5;6;0;0
36750;9;8;0;0
37250;10;7;0;0
37750;7;9;0;0
38250;9;5;0;0
38750;10;1;0;0
39250;10;12;0;0
39750;9;7;0;0
40250;9;10;0;0
40750;7;8;0;0
41250;9;4;0;0
41750;8;6;0;0
42250;5;10;0;0
42750;9;9;0;0
43250;13;3;0;0
43750;21;14;0;0
44250;31;10;0;0
44750;28;6;0;0
45250;20;10;0;0
45750;8;8;0;0
46250;8;26;0;0
46750;4;17;0;0
47250;7;21;0;0
47750;7;18;0;0
48250;11;14;0;0
48750;12;4;0;0
49250;32;7;0;0
49750;20;5;0;0
50250;17;20;0;0
50750;8;33;0;0
51250;4;18;0;0
51750;16;9;0;0
52250;30;10;0;0
52750;32;14;0;0
53250;34;12;0;0
53750;52;24;0;0
54250;35;22;0;0
54750;25;23;0;0
55250;33;35;0;0
55750;29;23;0;0
56250;29;23;0;0
56750;29;33;0;0
57250;19;22;0;0
57750;21;27;0;0
58250;14;19;0;0
58750;12;20;0;0
59250;13;19;0;0
59750;14;19;0;0
60250;14;21;0;0
60750;19;17;0;0
61250;13;13;0;0
61750;18;17;0;0
62250;18;9;0;0
62750;13;13;0;0
63250;14;16;0;0
63750;15;8;0;0
64250;14;12;0;0
64750;14;7;0;0
65250;18;8;0;0
65750;11;14;0;0
66250;6;9;0;0
66750;11;11;0;0
67250;9;11;0;0
67750;8;7;0;0
68250;6;9;0;0
68750;8;5;0;0
69250;9;8;0;0
69750;7;11;0;0
70250;5;11;0;0
70750;7;5;0;0
71250;7;16;0;0
71750;7;10;0;0
72250;4;11;0;0
72750;10;2;0;0
73250;6;4;0;0
73750;8;4;0;0
74250;15;4;0;0
74750;4;10;0;0
75250;12;9;0;0
75750;7;11;0;0
76250;9;3;0;0
76750;9;15;0;0
77250;7;3;0;0
77750;13;8;0;0
78250;5;7;0;0
78750;6;8;0;0
79250;7;8;0;0
79750;8;6;0;0
80250;8;7;0;0
80750;10;6;0;0
81250;2;10;0;0
81750;8;9;0;0
82250;12;7;0;0
82750;7;7;0;0
83250;7;6;0;0
83750;8;7;0;0
84250;12;2;0;0
84750;14;9;0;0
85250;7;10;0;0
85750;4;8;0;0
86250;10;5;0;0
86750;6;7;0;0
87250;6;9;0;0
87750;8;7;0;0
88250;8;7;0;0
88750;5;9;0;0
89250;11;7;0;0
89750;15;8;0;0
90250;15;9;0;0
90750;8;5;0;0
91250;8;4;0;0
91750;10;4;0;0
92250;10;10;0;0
92750;8;8;0;0
93250;4;6;0;0
93750;6;8;0;0
94250;10;5;0;0
94750;10;11;0;0
95250;4;11;0;0
95750;10;7;0;0
96250;10;9;0;0
96750;13;8;0;0
97250;7;7;0;0
97750;9;7;0;0
98250;6;4;0;0
98750;13;5;0;0
99250;10;11;0;0
99750;12;8;0;0
