BinCenter (ps);Histo01;Histo02;Histo03;Histo04
250;811;5854;5854;811
750;104;8258;8258;104
1250;26;1730;1730;26
1750;16;209;209;16
2250;10;46;46;10
2750;11;23;23;11
3250;8;17;17;8
3750;6;4;4;6
4250;8;10;10;8
4750;9;7;7;9
5250;9;11;11;9
5750;6;9;9;6
6250;9;14;14;9
6750;8;9;9;8
7250;10;11;11;10
7750;12;7;7;12
8250;12;9;9;12
8750;14;10;10;14
9250;19;11;11;19
9750;6;11;11;6
10250;8;5;5;8
10750;11;7;7;11
11250;8;6;6;8
11750;12;8;8;12
12250;12;6;6;12
12750;8;8;8;8
13250;10;6;6;10
13750;4;10;10;4
14250;9;8;8;9
14750;6;7;7;6
15250;12;10;10;12
15750;8;9;9;8
16250;7;7;7;7
16750;6;4;4;6
17250;6;5;5;6
17750;5;8;8;5
18250;5;6;6;5
18750;3;5;5;3
19250;9;6;6;9
19750;11;16;16;11
20250;10;11;11;10
20750;14;11;11;14
21250;7;4;4;7
21750;11;13;13;11
22250;11;12;12;11
22750;12;4;4;12
23250;4;8;8;4
23750;6;8;8;6
24250;7;6;6;7
24750;15;7;7;15
25250;5;6;6;5
25750;10;4;4;10
26250;13;6;6;13
26750;9;8;8;9
27250;12;14;14;12
27750;5;6;6;5
28250;4;9;9;4
28750;5;2;2;5
29250;10;13;13;10
29750;10;7;7;10
30250;11;7;7;11
30750;7;8;8;7
31250;1;7;7;1
31750;6;5;5;6
32250;3;8;8;3
32750;6;13;13;6
33250;11;7;7;11
33750;5;7;7;5
34250;6;10;10;6
34750;7;5;5;7
35250;8;6;6;8
35750;8;10;10;8
36250;7;8;8;7
36750;14;6;6;14
37250;10;7;7;10
37750;9;8;8;9
38250;10;6;6;10
38750;12;11;11;12
39250;11;2;2;11
39750;3;18;18;3
40250;6;9;9;6
40750;9;8;8;9
41250;6;8;8;6
41750;8;8;8;8
42250;10;6;6;10
42750;7;7;7;7
43250;6;12;12;6
43750;13;9;9;13
44250;31;5;5;31
44750;30;8;8;30
45250;21;11;11;21
45750;14;13;13;14
46250;14;21;21;14
46750;11;30;30;11
47250;11;19;19;11
47750;14;26;26;14
48250;5;17;17;5
48750;16;8;8;16
49250;32;9;9;32
49750;24;11;11;24
50250;12;17;17;12
50750;9;42;42;9
51250;9;16;16;9
51750;5;11;11;5
52250;20;11;11;20
52750;32;9;9;32
53250;38;23;23;38
53750;46;23;23;46
54250;52;26;26;52
54750;33;32;32;33
55250;36;31;31;36
55750;30;28;28;30
56250;27;20;20;27
56750;27;22;22;27
57250;30;18;18;30
57750;27;21;21;27
58250;20;25;25;20
58750;12;23;23;12
59250;29;18;18;29
59750;20;19;19;20
60250;13;15;15;13
60750;14;15;15;14
61250;11;16;16;11
61750;8;10;10;8
62250;16;14;14;16
62750;18;10;10;18
63250;22;13;13;22
63750;18;17;17;18
64250;13;11;11;13
64750;10;6;6;10
65250;13;10;10;13
65750;12;11;11;12
66250;9;10;10;9
66750;13;5;5;13
67250;11;8;8;11
67750;12;5;5;12
68250;11;4;4;11
68750;11;8;8;11
69250;7;10;10;7
69750;7;8;8;7
70250;13;10;10;13
70750;7;13;13;7
71250;9;7;7;9
71750;10;10;10;10
72250;11;8;8;11
72750;7;8;8;7
73250;8;7;7;8
73750;15;6;6;15
74250;8;8;8;8
74750;10;11;11;10
75250;7;6;6;7
75750;11;6;6;11
76250;8;7;7;8
76750;7;6;6;7
77250;10;8;8;10
77750;4;11;11;4
78250;6;6;6;6
78750;7;9;9;7
79250;8;6;6;8
79750;8;14;14;8
80250;11;13;13;11
80750;12;8;8;12
81250;13;5;5;13
81750;7;8;8;7
82250;12;6;6;12
82750;3;13;13;3
83250;6;4;4;6
83750;5;10;10;5
84250;7;3;3;7
84750;11;10;10;11
85250;9;8;8;9
85750;11;5;5;11
86250;10;12;12;10
86750;11;8;8;11
87250;10;5;5;10
87750;9;7;7;9
88250;12;12;12;12
88750;10;11;11;10
89250;7;5;5;7
89750;12;3;3;12
90250;13;11;11;13
90750;12;8;8;12
91250;10;3;3;10
91750;8;9;9;8
92250;5;12;12;5
92750;9;6;6;9
93250;6;12;12;6
93750;5;8;8;5
94250;8;9;9;8
94750;6;7;7;6
95250;11;7;7;11
95750;13;6;6;13
96250;7;7;7;7
96750;9;10;10;9
97250;5;6;6;5
97750;9;7;7;9
98250;8;13;13;8
98750;10;10;10;10
99250;10;11;11;10
99750;7;7;7;7
