BinCenter (ps);Histo01;Histo02;Histo03;Histo04
150;634;2452;0;0
450;173;5506;0;0
750;57;5266;0;0
1050;22;2277;0;0
1350;7;626;0;0
1650;8;188;0;0
1950;7;63;0;0
2250;4;28;0;0
2550;6;15;0;0
2850;4;6;0;0
3150;4;12;0;0
3450;5;5;0;0
3750;8;10;0;0
4050;5;5;0;0
4350;6;6;0;0
4650;5;2;0;0
4950;5;5;0;0
5250;7;5;0;0
5550;4;2;0;0
5850;4;7;0;0
6150;6;7;0;0
6450;6;4;0;0
6750;3;4;0;0
7050;8;4;0;0
7350;4;4;0;0
7650;3;5;0;0
7950;5;9;0;0
8250;4;3;0;0
8550;7;3;0;0
8850;3;5;0;0
9150;4;6;0;0
9450;4;7;0;0
9750;8;6;0;0
10050;4;5;0;0
10350;3;5;0;0
10650;5;0;0;0
10950;2;3;0;0
11250;4;7;0;0
11550;5;6;0;0
11850;5;5;0;0
12150;4;2;0;0
12450;3;4;0;0
12750;5;3;0;0
13050;3;5;0;0
13350;5;6;0;0
13650;6;8;0;0
13950;6;2;0;0
14250;5;6;0;0
14550;5;4;0;0
14850;4;9;0;0
15150;7;7;0;0
15450;5;5;0;0
15750;2;7;0;0
16050;6;2;0;0
16350;5;3;0;0
16650;4;6;0;0
16950;11;7;0;0
17250;7;5;0;0
17550;7;4;0;0
17850;3;3;0;0
18150;7;2;0;0
18450;3;2;0;0
18750;4;4;0;0
19050;3;3;0;0
19350;5;5;0;0
19650;2;8;0;0
19950;4;2;0;0
20250;4;3;0;0
20550;8;7;0;0
20850;4;4;0;0
21150;6;6;0;0
21450;9;7;0;0
21750;3;6;0;0
22050;1;2;0;0
22350;3;4;0;0
22650;5;7;0;0
22950;3;5;0;0
23250;6;2;0;0
23550;4;7;0;0
23850;8;2;0;0
24150;2;7;0;0
24450;1;8;0;0
24750;4;9;0;0
25050;6;6;0;0
25350;2;2;0;0
25650;4;5;0;0
25950;4;10;0;0
26250;3;2;0;0
26550;2;7;0;0
26850;7;4;0;0
27150;2;3;0;0
27450;3;6;0;0
27750;9;7;0;0
28050;3;9;0;0
28350;5;7;0;0
28650;6;1;0;0
28950;7;6;0;0
29250;5;4;0;0
29550;4;4;0;0
29850;5;3;0;0
30150;7;3;0;0
30450;4;2;0;0
30750;6;2;0;0
31050;2;4;0;0
31350;4;1;0;0
31650;3;2;0;0
31950;2;6;0;0
32250;7;2;0;0
32550;3;3;0;0
32850;4;5;0;0
33150;3;5;0;0
33450;1;4;0;0
33750;5;10;0;0
34050;5;7;0;0
34350;6;9;0;0
34650;3;5;0;0
34950;5;6;0;0
35250;5;5;0;0
35550;3;5;0;0
35850;9;4;0;0
36150;6;9;0;0
36450;6;5;0;0
36750;8;3;0;0
37050;5;0;0;0
37350;6;5;0;0
37650;5;7;0;0
37950;5;4;0;0
38250;3;5;0;0
38550;3;5;0;0
38850;7;7;0;0
39150;4;9;0;0
39450;2;1;0;0
39750;2;4;0;0
40050;4;4;0;0
40350;8;2;0;0
40650;3;3;0;0
40950;1;9;0;0
41250;8;3;0;0
41550;3;4;0;0
41850;5;1;0;0
42150;3;7;0;0
42450;8;4;0;0
42750;6;5;0;0
43050;2;8;0;0
43350;11;8;0;0
43650;8;4;0;0
43950;15;4;0;0
44250;13;2;0;0
44550;22;7;0;0
44850;21;4;0;0
45150;17;7;0;0
45450;14;9;0;0
45750;11;3;0;0
46050;7;8;0;0
46350;2;13;0;0
46650;5;12;0;0
46950;2;13;0;0
47250;11;15;0;0
47550;9;10;0;0
47850;5;9;0;0
48150;3;5;0;0
48450;6;7;0;0
48750;10;6;0;0
49050;17;6;0;0
49350;15;5;0;0
49650;17;5;0;0
49950;5;5;0;0
50250;8;5;0;0
50550;3;28;0;0
50850;5;17;0;0
51150;5;8;0;0
51450;10;9;0;0
51750;9;4;0;0
52050;9;8;0;0
52350;12;4;0;0
52650;25;7;0;0
52950;18;8;0;0
53250;23;8;0;0
53550;20;13;0;0
53850;32;14;0;0
54150;22;18;0;0
54450;24;19;0;0
54750;23;19;0;0
55050;22;15;0;0
55350;19;21;0;0
55650;15;20;0;0
55950;14;15;0;0
56250;12;22;0;0
56550;18;18;0;0
56850;18;13;0;0
57150;14;18;0;0
57450;9;19;0;0
57750;14;12;0;0
58050;7;21;0;0
58350;13;12;0;0
58650;14;13;0;0
58950;14;13;0;0
59250;12;13;0;0
59550;17;7;0;0
59850;8;8;0;0
60150;6;6;0;0
60450;13;11;0;0
60750;12;5;0;0
61050;11;6;0;0
61350;11;10;0;0
61650;13;9;0;0
61950;17;11;0;0
62250;10;10;0;0
62550;8;4;0;0
62850;7;6;0;0
63150;4;5;0;0
63450;4;5;0;0
63750;10;12;0;0
64050;5;6;0;0
64350;8;5;0;0
64650;10;8;0;0
64950;4;3;0;0
65250;8;4;0;0
65550;11;6;0;0
65850;8;8;0;0
66150;1;6;0;0
66450;5;4;0;0
66750;2;8;0;0
67050;7;10;0;0
67350;3;2;0;0
67650;1;4;0;0
67950;1;5;0;0
68250;2;6;0;0
68550;2;7;0;0
68850;1;5;0;0
69150;7;4;0;0
69450;2;6;0;0
69750;8;7;0;0
70050;6;4;0;0
70350;6;7;0;0
70650;6;4;0;0
70950;0;4;0;0
71250;5;3;0;0
71550;6;5;0;0
71850;2;5;0;0
72150;8;7;0;0
72450;2;4;0;0
72750;6;4;0;0
73050;7;2;0;0
73350;8;2;0;0
73650;4;6;0;0
73950;5;6;0;0
74250;5;7;0;0
74550;5;5;0;0
74850;7;3;0;0
75150;6;7;0;0
75450;6;3;0;0
75750;3;8;0;0
76050;5;1;0;0
76350;10;3;0;0
76650;4;2;0;0
76950;6;7;0;0
77250;4;5;0;0
77550;7;6;0;0
77850;7;3;0;0
78150;2;4;0;0
78450;6;4;0;0
78750;2;8;0;0
79050;9;5;0;0
79350;4;7;0;0
79650;5;7;0;0
79950;5;7;0;0
80250;8;5;0;0
80550;8;5;0;0
80850;3;5;0;0
81150;4;4;0;0
81450;7;7;0;0
81750;5;3;0;0
82050;5;8;0;0
82350;5;4;0;0
82650;7;9;0;0
82950;4;9;0;0
83250;9;4;0;0
83550;2;3;0;0
83850;10;7;0;0
84150;7;7;0;0
84450;5;6;0;0
84750;6;5;0;0
85050;6;6;0;0
85350;8;7;0;0
85650;10;4;0;0
85950;5;3;0;0
86250;2;7;0;0
86550;5;3;0;0
86850;8;6;0;0
87150;3;2;0;0
87450;8;9;0;0
87750;1;4;0;0
88050;5;6;0;0
88350;3;8;0;0
88650;5;6;0;0
88950;7;4;0;0
89250;6;5;0;0
89550;5;5;0;0
89850;5;2;0;0
90150;5;9;0;0
90450;8;9;0;0
90750;3;3;0;0
91050;4;6;0;0
91350;4;6;0;0
91650;8;0;0;0
91950;8;9;0;0
92250;4;7;0;0
92550;8;5;0;0
92850;2;5;0;0
93150;6;6;0;0
93450;4;6;0;0
93750;6;10;0;0
94050;4;5;0;0
94350;3;4;0;0
94650;11;7;0;0
94950;11;7;0;0
95250;6;8;0;0
95550;3;7;0;0
95850;7;6;0;0
96150;11;2;0;0
96450;3;4;0;0
96750;6;2;0;0
97050;6;8;0;0
97350;3;1;0;0
97650;2;7;0;0
97950;8;5;0;0
98250;7;3;0;0
98550;6;4;0;0
98850;5;3;0;0
99150;3;9;0;0
99450;10;5;0;0
99750;8;7;0;0
100050;6;9;0;0
